Classes,perc1985,perc1986,perc1987,perc1988,perc1989,perc1990,perc1991,perc1992,perc1993,perc1994,perc1995,perc1996,perc1997,perc1998,perc1999,perc2000,perc2001,perc2002,perc2003,perc2004,perc2005,perc2006,perc2007,perc2008,perc2009,perc2010,perc2011,perc2012,perc2013,perc2014,perc2015,perc2016,perc2017,perc2018,perc2019,perc2020,perc2021,perc2022
 3.2.1.5. Other Temporary Crops,0.026,0.025,0.031,0.034,0.049,0.062,0.108,0.121,0.142,0.152,0.167,0.305,0.329,0.426,0.451,0.48,0.687,0.8,0.842,1.26,1.495,1.723,2.097,2.478,2.312,2.005,1.779,2.062,2.876,3.07,3.136,2.973,3.021,2.801,2.633,2.338,2.064,1.916
 3.2.2. Perennial Crop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.2.1. Coffee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.2.2. Citrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.2.3. Palm Oil (beta),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.2.4. Other Perennial Crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.3. Forest Plantation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.002,0.003,0.004,0.006,0.007,0.009,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.01,0.012,0.023,0.051,0.051,0.052,0.051,0.048,0.04,0.041,0.044,0.045,0.045
 3.4. Mosaic of Uses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 4. Non vegetated area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 4.1. Beach Dune and Sand Spot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 4.2. Urban Area,0.019,0.025,0.027,0.029,0.03,0.031,0.032,0.033,0.034,0.034,0.035,0.035,0.036,0.037,0.037,0.038,0.039,0.04,0.04,0.041,0.043,0.044,0.044,0.045,0.046,0.046,0.047,0.047,0.047,0.048,0.048,0.049,0.049,0.05,0.05,0.05,0.05,0.05
 4.3. Mining,0.012,0.015,0.022,0.027,0.03,0.033,0.032,0.032,0.03,0.03,0.029,0.029,0.029,0.029,0.031,0.032,0.032,0.032,0.032,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.035,0.036
 4.4. Other non Vegetated Areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 5. Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 5.1. River Lake and Ocean,0.23,0.241,0.241,0.246,0.249,0.252,0.261,0.261,0.263,0.268,0.268,0.273,0.271,0.273,0.268,0.245,0.246,0.251,0.256,0.256,0.254,0.254,0.255,0.259,0.259,0.259,0.257,0.257,0.25,0.246,0.25,0.249,0.252,0.255,0.256,0.252,0.248,0.258
5.2. Aquaculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 6. Not Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
